State,Year,ConsumptionType,ConsumptionValue
Arkansas,1987,Consumption.Commercial.Geothermal,0
Arkansas,1988,Consumption.Commercial.Geothermal,0
Arkansas,1989,Consumption.Commercial.Geothermal,4
Arkansas,1990,Consumption.Commercial.Geothermal,4
Arkansas,1991,Consumption.Commercial.Geothermal,4
Arkansas,1992,Consumption.Commercial.Geothermal,4
Arkansas,1993,Consumption.Commercial.Geothermal,4
Arkansas,1994,Consumption.Commercial.Geothermal,4
Arkansas,1995,Consumption.Commercial.Geothermal,4
Arkansas,1996,Consumption.Commercial.Geothermal,4
Arkansas,1997,Consumption.Commercial.Geothermal,4
Arkansas,1998,Consumption.Commercial.Geothermal,4
Arkansas,1999,Consumption.Commercial.Geothermal,0
Arkansas,2000,Consumption.Commercial.Geothermal,0
Arkansas,2001,Consumption.Commercial.Geothermal,0
Arkansas,2002,Consumption.Commercial.Geothermal,0
Arkansas,2003,Consumption.Commercial.Geothermal,0
Arkansas,2004,Consumption.Commercial.Geothermal,0
Arkansas,2005,Consumption.Commercial.Geothermal,0
Arkansas,2006,Consumption.Commercial.Geothermal,0
Arkansas,2007,Consumption.Commercial.Geothermal,0
Arkansas,2008,Consumption.Commercial.Geothermal,0
Arkansas,2009,Consumption.Commercial.Geothermal,0
Arkansas,2010,Consumption.Commercial.Geothermal,0
Arkansas,2011,Consumption.Commercial.Geothermal,0
Arkansas,2012,Consumption.Commercial.Geothermal,0
Arkansas,2013,Consumption.Commercial.Geothermal,0
Arkansas,2014,Consumption.Commercial.Geothermal,0
Arkansas,2015,Consumption.Commercial.Geothermal,0
Arkansas,2016,Consumption.Commercial.Geothermal,0
Arkansas,2017,Consumption.Commercial.Geothermal,0
Arkansas,2018,Consumption.Commercial.Geothermal,0
Arkansas,2019,Consumption.Commercial.Geothermal,0
Arizona,1960,Consumption.Commercial.Geothermal,0
Arizona,1961,Consumption.Commercial.Geothermal,0
Arizona,1962,Consumption.Commercial.Geothermal,0
Arizona,1963,Consumption.Commercial.Geothermal,0
Arizona,1964,Consumption.Commercial.Geothermal,0
Arizona,1965,Consumption.Commercial.Geothermal,0
